sector,price,price_per_sqft,built_up_area,bedRoom,bathroom,property_type,latitude,longitude
sector 104,1.95,8515.0,2544.0,3.0,3.0,flat,28.4788,76.996
sector 84,2.2,7586.0,3222.0,4.0,4.0,flat,28.3979,76.9736
sector 45,8.5,26235.0,3240.0,5.0,4.0,house,28.4466,77.066
sector 70,0.53,4801.0,991.0,2.0,2.0,flat,28.3968,77.0233
sector 71,0.9,13177.0,683.0,1.0,1.0,flat,28.4104,77.0281
sector 33,2.3,12778.0,2000.0,4.0,4.0,flat,28.442,77.0207
sector 5,0.95,8879.0,1070.0,4.0,3.0,house,28.4794,77.0176
sector 95,0.35,5495.0,637.0,2.0,2.0,flat,28.4172,76.9081
sector 83,3.15,8400.0,3200.0,5.0,7.0,flat,28.3986,76.9647
sector 103,0.23,6534.0,400.0,1.0,1.0,flat,28.4949,76.9845
sector 65,2.78,15200.0,1829.0,3.0,3.0,flat,28.403,77.069
sector 84,1.5,7641.0,1833.0,3.0,3.0,flat,28.3979,76.9736
sector 81,0.49,6667.0,700.0,2.0,2.0,flat,28.3867,76.9485
sector 33,1.35,11157.0,1210.0,2.0,2.0,house,28.442,77.0207
sector 14,6.4,20317.0,3150.0,6.0,6.0,house,28.4711,77.0454
sector 68,1.1,8987.0,1150.0,2.0,2.0,flat,28.3853,77.0484
