price,area,locality,property_type,bedroom_num,latitude,longitude
0.77,440,Malad,Apartment,1,19.1878376,72.86705017
1.03,507,Borivali,Apartment,1,19.22890663,72.86195374
1.66,705,Borivali,Apartment,2,19.22890663,72.86195374
1.85,812,Malad,Apartment,2,19.19087029,72.86130524
0.91,481,Borivali,Apartment,1,19.22286224,72.85883331
0.69,715,Mira Road,Apartment,1,19.28604317,72.87023163
0.89,520,Kandivali,Apartment,1,19.21466827,72.82371521
2.0,728,Goregaon,Apartment,2,19.16010094,72.84772491
3.0,1015,Goregaon,Apartment,3,19.16010094,72.84772491
1.24,850,Kalwa,Apartment,2,19.2050457,72.99949646
0.68,680,Kalwa,Apartment,1,19.2050457,72.99949646
1.36,1098,Kalwa,Apartment,2,19.20948792,73.01093292
0.46,802,Taloja,Apartment,2,19.07123184,73.09724426
0.33,605,Taloja,Apartment,1,19.07122612,73.09724426
0.35,672,Taloje,Apartment,1,19.07125473,73.09725189
0.51,520,Kalyan,Apartment,1,19.25238609,73.1255722
0.58,790,Thane,Apartment,2,19.25656128,73.12287903
0.55,933,Taloje,Apartment,2,19.07117844,73.097229
0.41,720,Taloja,Apartment,1,19.07181549,73.09798431
0.35,720,Taloje,Apartment,1,19.08200073,73.10729218
0.62,1020,Taloja,Apartment,2,19.07297325,73.10353851
1.55,950,Malad,Apartment,2,19.18033409,72.83765411
0.78,1110,Vasai,Apartment,2,19.36294746,72.81175995
0.32,1000,Taloja,Apartment,1,19.06961632,73.09765625
0.48,640,Dombivli,Apartment,1,19.22700691,73.09072876
0.47,630,Dombivli,Apartment,1,19.22651672,73.08804321
1.8,2075,Vasai,Apartment,3,19.39390373,72.8265152
0.67,895,Dombivli,Apartment,2,19.22650719,73.09095001
0.5,1000,Ambernath,Apartment,2,19.20769119,73.18080902
0.75,980,Vasai,Apartment,2,19.37498093,72.81552887
0.68,700,Mira Road,Apartment,1,19.28025436,72.8841095
0.75,1160,Kalamboli,Apartment,2,19.0376873,73.09468079
0.5,1000,Ambernath,Apartment,2,19.20769119,73.18080902
0.75,980,Vasai,Apartment,2,19.37498093,72.81552887
0.68,700,Mira Road,Apartment,1,19.28025436,72.8841095
0.75,1160,Kalamboli,Apartment,2,19.0376873,73.09468079
